"directorio","secuencia_p","orden","clase","dominio","age","sex","estrato1","p6210","p6240","mes","relab","p6426","p6870","p6920","p7040","p7070","y_total_m_ha","maxEducLevel","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","college","depto","ingtot"
4514468,1,1,1,"BOGOTA",38,1,2,5,1,1,1,60,7,1,2,0,4456.0185546875,6,48,1,0,0,0,4,916666.6875,1,11,9.16666666666667e-07
4514469,1,1,1,"BOGOTA",39,1,1,6,1,1,4,5,1,1,2,0,4861.111328125,7,72,1,0,1,1,1,1500000,0,11,1.5e-06
4514470,1,1,1,"BOGOTA",36,1,3,6,1,1,2,54,9,1,2,0,22847.22265625,7,54,1,0,0,0,5,5287500,0,11,5.2875e-06
4514471,1,1,1,"BOGOTA",47,1,1,3,1,1,4,12,1,2,2,0,5055.5556640625,3,60,0,1,1,1,1,1300000,0,11,1.3e-06
4514476,1,2,1,"BOGOTA",18,1,1,5,1,1,1,4,3,1,2,0,3726.23388671875,6,54,1,0,0,1,2,862357,1,11,8.62357e-07
4514477,1,2,1,"BOGOTA",27,0,2,5,1,1,1,5,9,1,2,0,4131.24951171875,6,48,1,0,0,0,5,849857,1,11,8.49857e-07
4514477,1,1,1,"BOGOTA",52,0,2,6,1,1,1,264,9,1,2,0,5962.0234375,7,48,1,0,0,0,5,1226473.375,0,11,1.22647333333333e-06
4514478,1,1,1,"BOGOTA",64,1,1,4,1,1,4,48,1,2,2,0,525,5,40,0,1,1,1,1,90000,0,11,9e-08
4514479,1,1,1,"BOGOTA",55,0,2,5,1,1,3,84,1,2,2,0,1215.27783203125,6,48,0,1,0,1,1,250000,1,11,5.5e-07
4514480,1,1,1,"BOGOTA",37,1,2,6,1,1,1,12,8,1,2,0,6319.4443359375,7,48,1,0,0,0,5,1300000,0,11,1.3e-06
4514480,1,2,1,"BOGOTA",46,0,2,6,1,1,4,60,1,1,2,0,3888.88891601562,7,48,1,0,1,1,1,8e+05,0,11,1.45e-06
4514481,1,1,1,"BOGOTA",63,1,1,3,1,1,1,176,9,1,2,0,4050.92578125,3,48,1,0,0,0,5,833333.3125,0,11,8.33333333333333e-07
4514483,1,1,1,"BOGOTA",49,0,2,3,1,1,3,2,1,2,2,0,4666.66650390625,4,30,0,1,0,1,1,6e+05,0,11,7.5e-07
4514483,1,2,1,"BOGOTA",22,1,2,5,1,1,1,0,4,2,2,0,4131.9443359375,6,48,0,1,0,0,3,850000,1,11,8.5e-07
4514484,1,3,1,"BOGOTA",44,1,2,6,1,1,1,36,9,1,2,0,4739.58349609375,7,48,1,0,0,0,5,975000,0,11,1.155e-06
4514485,1,3,1,"BOGOTA",23,1,1,5,1,1,1,7,9,1,2,0,4132.0595703125,6,48,1,0,0,0,5,850023.6875,1,11,8.50023666666667e-07
4514485,1,2,1,"BOGOTA",28,1,1,3,1,1,1,6,8,2,2,0,2722.22216796875,3,60,0,1,0,0,5,7e+05,0,11,7e-07
4514488,1,1,1,"BOGOTA",41,1,1,4,1,1,1,48,7,1,2,0,3990.27709960938,5,48,1,0,0,0,4,820857,0,11,8.20857e-07
4514490,1,1,1,"BOGOTA",40,1,2,6,1,1,1,60,4,1,2,0,5911.11083984375,7,50,1,0,0,0,3,1266666.625,0,11,1.26666666666667e-06
4514490,1,2,1,"BOGOTA",34,0,2,6,1,1,1,132,9,1,2,0,5871.18505859375,7,45,1,0,0,0,5,1132300,0,11,1.1323e-06
4514491,1,1,1,"BOGOTA",26,1,3,5,1,1,1,8,2,1,2,0,3370.46240234375,6,60,1,0,0,1,2,866690.3125,1,11,8.66690333333333e-07
